vessel_id,vessel_name,timestamp,lat,lon,sog,cog,hex_id
MMSI_419000101,IND_TANKER_412,2026-05-14T06:00:00+00:00,20.09777,70.80449,14.31,135.0,8742dec0affffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:05:00+00:00,20.09501,70.80226,14.14,135.0,8742dec19ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:10:00+00:00,20.09137,70.81006,14.28,135.0,8742dece4ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:15:00+00:00,20.09021,70.8123,14.23,135.0,8742dece4ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:20:00+00:00,20.08412,70.81203,14.49,135.0,8742dece6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:25:00+00:00,20.08365,70.81822,13.9,135.0,8742dece6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:30:00+00:00,20.07851,70.82251,14.37,135.0,8742dece6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:35:00+00:00,20.07554,70.82644,13.82,135.0,8742dece6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:40:00+00:00,20.07102,70.82817,13.89,135.0,8742dece6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:45:00+00:00,20.07048,70.83805,14.14,135.0,8742dece2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:50:00+00:00,20.06229,70.83764,14.02,135.0,8742dece2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T06:55:00+00:00,20.06385,70.84275,14.06,135.0,8742dece2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:00:00+00:00,20.06146,70.84727,14.35,135.0,8742dece2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:05:00+00:00,20.0551,70.84897,14.04,135.0,8742decc4ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:10:00+00:00,20.04808,70.85348,14.19,135.0,8742decc4ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:15:00+00:00,20.04902,70.85658,13.87,135.0,8742decc4ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:20:00+00:00,20.0449,70.86395,14.12,135.0,8742decc6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:25:00+00:00,20.04218,70.86198,14.04,135.0,8742decc6ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:30:00+00:00,20.03834,70.86957,14.47,135.0,8742decc0ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:35:00+00:00,20.03601,70.87237,14.08,135.0,8742decc0ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:40:00+00:00,20.02874,70.87458,13.84,135.0,8742decc2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:45:00+00:00,20.02622,70.881,13.99,135.0,8742decc2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:50:00+00:00,20.02659,70.88093,14.44,135.0,8742decc2ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T07:55:00+00:00,20.02406,70.8903,14.02,135.0,8742decdcffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T08:00:00+00:00,20.01324,70.89324,13.98,135.0,8742decdcffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T08:05:00+00:00,20.0137,70.89269,14.14,135.0,8742decdcffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T08:10:00+00:00,20.0098,70.89583,14.13,135.0,8742decdcffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T08:15:00+00:00,20.00521,70.90275,13.83,135.0,8742decd8ffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T08:20:00+00:00,20.00311,70.90187,14.17,135.0,8742decdeffffff
MMSI_419000101,IND_TANKER_412,2026-05-14T08:25:00+00:00,19.99717,70.91207,14.47,135.0,8742decd8ffffff
